text,anger,fear,joy,love,sadness,surprise,thankfulness,disgust,guilt
the yve been strong for too long #experience #people #life #feelings #feel #quote #words,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Just be thankful that God created me perfectly sel ca #selca self ie #selfie my life #mylife my style #mystyle #myself #me,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"'RT @user The best measure to deal with this pandemic is isolating people who have the virus.If you have symptoms, please isol…'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
We have a for you ! :D Tim Hortons is opening soon at Red Sea Mall at gate ground floor,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
thankyou u pdtmaam late post #latepost my birthday #mybirthday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
alf las l dj a I have to resign myself to the idea that you re going to never follow i die #idie,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Awesomeness kid rock #KidRock #birthday,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
New day to start,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
princess aubry #princessaubry is so excited fr her but has NO clue where shes at yet #mauino,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ig lip o isang pits el na kape day for this week be careful with my heart #BeCarefulWithMyHeart last month #LastMonth #shoot #taping working be ks #workingBeks thankyou lord #ThankYouLord,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"'RT @user If you’re an Asian upset about COVID racism, but silent about the police murdering a black man or a white woman weaponizing…'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@user you look like a loaf of bread,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
You know who the queen is on your knees #onyourknees #birthday #fake trop de love #tropdelove,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Grind Grind Grind Good Morning World #Blessed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Date night wiz my lovely hubby ¡yay! #date #night #hubby #wednesday our day #ourday amazing #amazing,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A year ago today I thought I was going to lose my grandma Thank you God for giving her another year giving her back her health,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Never take the simple things for granted,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
hate when ppl act a certain way for attention for no oooo reason ?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GirlfriendsPray May your heart be today ! Thursday girlfriend spray #GirlfriendsPray,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tengo mucho por a grade cer late post #Latepost #Blessed in love #Inlove too happy #Toohappy morning post #MorningPost thursday #Thursday,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TotemBomb Messages are all around us Embrace the messenger ! #patience #wisdom #totem,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
New chalkboard wall creation ! #chalkboard #thanksgiving #creating #family,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
u rudi a #UruDia shake feeling the song by @user produce by Masterkraft,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Luv #giveaway #VIP fan experience s #FanExperiences like this #Subscribe #WIN emulator life #EmulatorLife,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
'RT @user Sephora got looted. Reminder that Sephora let everyone go at the beginning of the pandemic on a phone call that then en…',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Great reunions bringing loved ones back together #family,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
No surprise visit is complete without delicious cupcakes later gram #latergram #cupcake,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
yeon woo #Yeonwoo #birthday #cake #forever #family #yujin run a #runa #indonesia #candle ly,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
ChuckMcGraidy backward nc That cartoon is so on point ! the nc gop way #NCGOPWay,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
isnt something to but we do it because weve never been shown what true love is Men internalize a skewed notion of wat love is,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Having a really rough go of it since the time change,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
wholefoods @user groves Im sure that @user hill is very for that to o! Follow their new Twitter page !,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Tis the Season Again How to Cope With Seasonal Affective Disorder @user post blog via healthy living,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
I love buying people gifts for no reason,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#beautiful beautiful people #beautifulpeople Im so for all the beautiful people Ive met encountered on my,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
happy birthday to KANAHappyhalloween #hbd #birthday #snowwhite seven dwarfs #sevendwarfs princess #princess,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
After a hard week at work and a stressful day at hospital time to unwind with my boyf love him #lovehim #cutie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Love surprise visitors like this at work ! love this baby #lovethisbaby #family,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The #Wifey #Girlfriend best ie #Bestie #Beautiful #Fireworks #Her #Mine #Gorgeous #Pretty kisses #Kisses,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Candle in my room philo phobia #philophobia cocotte store #cocottestore #deep #candle core ter no #coreterno #mine,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Because of how badly everything is made I now hate shopping Used to be my favorite thing to do So sad #furious,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
technik folgen ready for the Joint Conference of #Prisms and #PACT on surveillance #Surveillance #Security and #Privacy it a wien #ITAwien,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
God is good and so very faithful !!?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Daily emotions from my to #lucky #pleased #intrigued #challenged #optimistic #boiling and back to happy ! #UX ad guy #adguy,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank discussion of new Entanglement theory in stagood #instagood happy peace #peace prayer #prayer #God,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
TolboothOST Also last day to respond to your email s! :),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
I love #twitter users yes we did #yeswedid yoshes random,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CuffyMeh You have blind squirrel following you so what does that tell you ? The blind leading the blind i love koch brothers #ILoveKochBrothers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hold UpWait A minute let Me put some Pimpin In It deep tweet #DeepTweet #Poetry #Niggas #Bitches #Vibes,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
a #startup #wife learning about new #apps features your mommy blogger #mommyblogger friends @user @user media @user,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A man with nothing to is a man with nothing to #Joker,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
This girl right here #wcw @user,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
black friday #BlackFriday is now thirsty thursday #ThirstyThursday,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
election has come and gone and regardless of the results you got to #Vote and have a say Be for that,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
today @user and a express is joyspotting randomly rewarding messages of joy and thankfulness with gift cards share joy #sharejoy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
@user queen :) #Interview just iinb info project #JustiinBinfoproject vote spree for ema be lieber s #VoteSpreeForEmaBeliebers ema biggest fans justin bieber #EMABiggestFansJustinBieber,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Yesterday I was the roads were nt icy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Il countdown ha in izio sailing #sailing event #event #boat my best moment #myBestMoment special day #specialDay stay tuned #staytuned,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Was hearing fireworks last night and thinking for some people in the world the noise would be gunfire every night,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
This medicine is life,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Doo you know scotland s national animal ? NO GOOGLE IT! #funny,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Excited to be spending Christmas in New York with @user merry christmas #MerryChristmas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Sunday lunch @user dining #amazing good cause #goodcause MUST visit ! #food #wine #popup,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Why is this little wheat kid #wheatkid so excited ? Because we have a big we are rolling out over in,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
That moment when u can like take a nap from the time one person answers your txt message well then #wellthen,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Say Cheese Kats # pregnant ! #Pregnant! Watch Cute Couple Friends And # #Family With Sneaky pregnancy #Pregnancy,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The worked !! #reunited with the family Mums face was a picture !!!,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Love to find pics of me! not my pic My very own #HomeMade tim tams #TimTams icecream cake #IceCreamCake #Farewell press y #Pressy for my workmate Ely #Neapo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
but everytime your love is near my heart does begin to race everytime #walls #everytime,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
months down today with left,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Love life grateful to c another day!!,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
psa Im drinking an IPA and enjoying it also I sleep with socks on now i am a changed woman #iamachangedwoman u dont know me #udontknowme,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Me and ate olive #faces at hc pti bday of rmr #BDAYOFRMR,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
What a day Happy to be home to a wonderful family and a warm bed #blessed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
@user report zero humility,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nearly missed being slammed into on by about a centimeter ? someone was looking out for me,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Guess what I get that no one else does A LIJ @user live in judy #LiveInJudy LIBs and lij s are the best ! lucky betcha ndt #luckybetchandT @user,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Who ever you were to rate us on FlmFstvlLife Thank you for giving us such high grades !!,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
DZIEKUJE WAM elizanavy lemon squezzy birthday cake #birthdaycake #best #friends love,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Had a great fun productive day today Love those kind of days ! #Blessed,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Good people exist If you re blessed enough you ll find them or the yll find you,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#DISGRACEFUL No one in DC has the stones to impeach the #liarnchief! RT @user cont,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Baby birds in my house s garden ! So cute ? #baby #birds #cute #small,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gonna be productive this week ! O,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
RealLiamPayne now ill never get a follow,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Me and my baby ! :-) #cold #couple happy together together #london him you smile #smile,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Dont forget @user club this #Thanksgiving when being for friends and loved ones e for fashion #eforfashion,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Its a beautiful morning thank you Jesus for this day!,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
bridal shower #BridalShower my baby #MyBaby my mommy #MyMommy #Blessed,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
??? love you !! like like follow follow tfl ers #TFLers,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"'RT @user I truly can’t believe we fighting a pandemic, a race war, and the highest unemployment numbers ever all in one year...…'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
my current mood #mycurrentmood,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
That which does not come from love comes from Fear,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#meditation gives back so much #awake #aware #alive #now #yes #meditate,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Find joy in the ordinary #ordinary #life #beauty #standout #colours smile big #smilebig,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
#for birthday s #birthdays #camil #cake #roses #best #friends #of #the #world #cute ?,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
november #pict thanks ska #thanksSKA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Apple really gave me a brand new phone for free,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
It a wonderful morning indeed :) and blessed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A smile is the curve that sets everything straight #positive may a jules #mayajules good mood #goodmood,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
I love this girl so much shes my absolute rock ! ? best friend #bestfriend #smile judge me #judgeme,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Breaking news BAR Its still baseball season in Arizona,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
? #new #tattoo #yeah #rose #flannel #hipster #ink want more #wantmore #addicted cherry lips #cherrylips,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@user @user Tis the season for all the support shares co promotions and LOVE this past year,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Coach shi les came and visited me at the farm today,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
How do we protect our hearts yet let the love in to o? Dont know if its safe enough to mix again with you ? #trust #must give,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sarahlancs I wish I could get it in canada !,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
takin on CONNECTICUT to see @user !! so excited #SoExcited happy birthday #HappyBirthday #BFF,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Happy family photo #Family #photo #Friend cay ici Mah,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
@user @user herman for some reason i can t open vimeo TT need to use proxy from another country,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Will I ever be good at anything ? #makeup #youtube #dissapointment,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#offended #antique free jeremy #FreeJeremy @user,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
photo of the day #photooftheday #slovakia follow follow follow for follow #followforfollow like like like for like #likeforlike,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
My teacher came home one day to baby chickens in his house and a Williams Sonoma chicken coop in the back yard ?,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
So happy I got to see this goober today,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
We should be thankful for all the difficult people in our lives they sharpen refine us for Gods use,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
what why everybody decide to call n text my jack when I was In a situation already ?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"""RT @user People like John Edmunds who publicly defended 'herd immunity' as a strategy early on in the pandemic &amp; @user bot…""",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
knows exactly how to make me so super happy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
From barbie eeee nu hun at uh ! :* #jco #gift #birthday best friend #bestfriend late post #latepost in stapic #instapic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DanJPlouse One more day til @user hits the stage in cleveland #cleveland How did I not know about this until today !?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Thanks delta for holding the plane to FAR last night from MSP Even my luggage made it #impressive,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ValeeeDurann @user is really picking me up to take me to the gym ? only her #onlyher #sacrifice #iloveyou,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
day nineteen #daynineteen I am for the #opportunities God is giving me lets be thankful #letsbethankful thanksgiving countdown #thanksgivingcountdown always be thankful #alwaysbethankful,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
love this #lovethis too funny #toofunny double standards #doublestandards #men #women #toys #perverts #thursday,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
False robo calls That Wreaked Havoc On Chicago Elections Linked To #GOP Activists via @user,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
How cute are my parents ! they re the best ! dirty shoutout to becca terese and,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
I love #twitter users yes we did #yeswedid nicole ep once,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
yummi ii #icecream #chocolate #amazing #great #after #work #friends #life autumn #autumn,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
My year old cat is dying crying my eyes out #cryingmyeyesout kitty love #kittylove #Heartbroken,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
UPtv To my the UK also offers #country singers ! Check this out #music,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Feliz ! #friends #birthday #gracias,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
I feel this vibe from some people Wanting to see #hate ugh,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#we had a wonderful time play in a birthday party last night #lastnight today we head to brooksville #brooksville,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Investigations Bureau was awarded the Unit Citation Award for their hard work on Oct #grateful,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Opening the joint #PRISMS #PACT conference in Vienna by it a wien #ITAwien dep Dir W pei ssl,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Thanking God for waking me my family up this morning #Alive #Blessed ? a men,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Wish WDWs Fantasyland still had cool dark rides like Disneyland has #wdw #DisneyWorld #disneyland dark rides #darkrides #fantasyland but true,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Rigo JJ Evelyn and I are gonna go camping on the way home friday Forgot to tell evelyn,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Thanks for bringing free ice cream for the entire building on my no sugar week amazon ! not fair #notfair icant resist #icantresist,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
'RT @user It says something when you cant even get a PR Piece in the paper right. You have a hilarious headline which can be mis…',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
such knowledge is too wonderful for me too great for me to understand,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
GIDEONOKEKE again Got no words for that,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
What power there is in Gods word Incredible how it answers so many questions,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#DEBT keeping you from having a month ? Call Me! Chat about options no obligation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
is the greatest #gift which #life can grant us Boris Pasternak #quote,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
@user not that serious But Rose is never going to healthy again his body is breaking down #slowly but true,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
'RT @user This is alarming',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apparently tonight is The Walking Dead night decomposition ftw #decompositionftw,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
As relevent as it was in Men are too emotional to vote or be voted for ! :),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
This #Thanksgiving season the Foundation is very for our fantastic generous donors safety matters #SafetyMatters to you and you matter to us!,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
I received such a #pretty from a friend ! How awesome I love flowers #flowers bou q #bouq i love my friends #ilovemyfriends,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Thank you RealLiamPayne By a fan without your follow #uff #?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#FAITH #DOER #TALKER #ABUNDANCE #LIMITS #HATE choose wisely ! #ChooseWisely! food for thought ! #FoodForThought!,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DilimanConyos UP isnt in the Final Four ? Ok time to root for my HS alma mater! l sgh #LSGH #Zobel ateneo high #AteneoHigh,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
taste of country To my the UK also has #country singers ! Take a look out #music,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Having that person there to tell you all your long hours and hard work will pay off is a huge blessing,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
!!! blessed !!! #Blessed!!! squad !!! #SQUAD!!! blue tiger #BlueTiger blue tiger #BlueTiger pride Congrats to my bros dwallsbaby,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Shocking news of the day Dating sites are full of fraud and run by the ives,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Thank you smug ala #SMUGala Saint Gertrude Table Patron Mark Kelly schreiner ! We are so for your continual support,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#Killed in #Iraq As #General #Dempsey #Makes #Visit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
All the men in my life pic ,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
We are living in bangladesh !! #sigh ? ? ?,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
@user is a guest on TheTalkCBS all of her tv kids are there her birthday choked up #chokedup,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Keren @user terima kasih #story #life #friends #lounge #journey #tears,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
@user Im moving back to Mi to have you jokers keep raising taxes vs fiscal responsibility mich sucks #MichSucks gov waste #GovWaste,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Nothing more to say ? #blessed gods child #Godschild,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Best Halloween ever bvb army #BVBArmy #Halloween,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EganEvelyn I have everything I could possibly want !?,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
@user AArth and to think maybe just maybe seeing about coming down on Sunday the and you taking off the,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#Secret engagement #Engagement #Flat #Ring #Case #Enables,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
@user Not sure what I would do without oomf,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
When @user spends more time with @user than he ever will with me,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kids to ys ted x teen #tedxteen,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
'RT @user if you’re protesting PLEASE remember we’re still in the middle of a pandemic so please do the best you can to keep yourself s…',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
After nearly four years together he never ceases to amaze me #flowers #colour bright #bright,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
At #TBT #UCLA #throwback #Grateful #thursday #NCAA #Football #Quebec can ad #Canad,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Times New roman point font and double spacing make my page essay go to of a page,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
I dont even care if it didnt get re tweet s this must be posted #almost #rko,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
